ky	kx	wcc_0	wcc_1
0.1	0.25	-0.2744045556251406	0.04125473623473528
0.1	0.275	-0.2743866223853222	0.04115722839827839
0.1	0.30000000000000004	-0.2742974198383356	0.040671672413542206
0.1	0.325	-0.27413879785605416	0.03980602378374406
0.1	0.35000000000000003	-0.2739140666643367	0.03857468895820837
0.1	0.375	-0.27362796103181897	0.036998656318254615
0.1	0.4	-0.27328658373399506	0.03510564631827774
0.1	0.42500000000000004	-0.2728973238433922	0.032930237454238266
0.1	0.45	-0.2724687451971816	0.030513911455135337
0.1	0.47500000000000003	-0.2720104410161181	0.02790494987544717
0.1	0.5	-0.2715328521377814	0.025158107581489633
0.1	0.525	-0.2710470486194981	0.022333989508289378
0.1	0.55	-0.27056447737220357	0.01949806845538317
0.1	0.5750000000000001	-0.27009668168631257	0.016719305450093647
0.1	0.6000000000000001	-0.26965500157896766	0.014068370039256003
0.1	0.625	-0.26925026635609595	0.011615502567408289
0.1	0.65	-0.26889249221511846	0.009428107978820826
0.1	0.675	-0.26859059784474226	0.007568213089475113
0.1	0.7000000000000001	-0.2683521497915652	0.006089948977573052
0.1	0.7250000000000001	-0.2681831471392284	0.00503723189299504
0.1	0.75	-0.2680878523060578	0.004441808446202936
0.1	0.775	-0.26806867212233276	0.004321806142685509
0.1	0.8	-0.2681260912894983	0.0046808932820494075
0.1	0.8250000000000001	-0.2682586590400031	0.0055081079158093215
0.1	0.8500000000000001	-0.2684630291275743	0.00677836794538002
0.1	0.875	-0.26873405272372897	0.008453626253916744
0.1	0.9	-0.269064922854032	0.010484588389642635
0.1	0.925	-0.2694473673360537	0.012812869044639979
0.1	0.9500000000000001	-0.26987188478334884	0.015373432045728044
0.1	0.9750000000000001	-0.27032801547357954	0.0180971419216168
0.1	1.0	-0.27080463632166524	0.020913257091261184
0.125	0.0	-0.2843906171199001	0.09882959002914302
0.125	0.025	-0.284754914704869	0.101203203556356
0.125	0.05	-0.2851086792418856	0.1034679511655903
0.125	0.07500000000000001	-0.2854438019785245	0.10557820187265306
0.125	0.1	-0.2857527401228577	0.10749437989149557
0.125	0.125	-0.2860286645321678	0.10918291741982811
0.125	0.15000000000000002	-0.2862655799859786	0.11061603637083971
0.125	0.17500000000000002	-0.28645841936082056	0.111771441024613
0.125	0.2	-0.2866031143214935	0.11263198697717454
0.125	0.225	-0.2866966458323436	0.11318537503810013
0.125	0.25	-0.286737077880157	0.11342390395030244
0.125	0.275	-0.2867235773567432	0.11334430378249274
0.125	0.30000000000000004	-0.2866564221866916	0.11294766245118033
0.125	0.325	-0.28653699864485344	0.11223945034794094
0.125	0.35000000000000003	-0.286367787545292	0.1112296414380663
0.125	0.375	-0.28615233776141935	0.10993292229326831
0.125	0.4	-0.2858952245164498	0.10836897219899466
0.125	0.42500000000000004	-0.28560198921410185	0.10656278682833609
0.125	0.45	-0.28527905738998677	0.1045450045402833
0.125	0.47500000000000003	-0.2849336317473345	0.10235217843512383
0.125	0.5	-0.28457355823725944	0.10002692028713016
0.125	0.525	-0.28420716472460456	0.09761782719171139
0.125	0.55	-0.2838430738319422	0.09517909252169972
0.125	0.5750000000000001	-0.2834899938729085	0.09276970500525855
0.125	0.6000000000000001	-0.2831564940882833	0.09045215889020149
0.125	0.625	-0.282850772354077	0.08829063802808919
0.125	0.65	-0.28258042482200474	0.08634869727745893
0.125	0.675	-0.28235222734879883	0.08468654033538395
0.125	0.7000000000000001	-0.2821719380046552	0.08335807246551424
0.125	0.7250000000000001	-0.2820441285612361	0.08240797379701198
