ky	kz	wcc_0	wcc_1
0.07500000000000001	0.0	-3.382710778154764e-17	5.551115123125754e-16
0.07500000000000001	0.025	3.469446951953623e-17	1.1102230246251578e-16
0.07500000000000001	0.05	6.990935608186535e-16	2.2204460492503096e-16
0.07500000000000001	0.07500000000000001	3.4416913763379884e-15	-4.413136522885002e-15
0.07500000000000001	0.1	-1.498367402374968e-16	1.0547118733939007e-15
0.07500000000000001	0.125	-5.486062992776651e-17	2.220446049250319e-16
0.07500000000000001	0.15000000000000002	3.155028321932811e-17	-5.551115123125775e-17
0.07500000000000001	0.17500000000000002	-1.642024190229292e-16	-5.551115123125758e-17
0.07500000000000001	0.2	-5.828670879282059e-16	4.4408920985006173e-16
0.07500000000000001	0.225	-5.551115123125773e-16	5.204170427930412e-16
0.07500000000000001	0.25	1.64798730217797e-17	3.9165109415144185e-17
0.07500000000000001	0.275	-6.938893903907228e-18	-1.3244207163268256e-17
0.07500000000000001	0.30000000000000004	4.1633363423443336e-16	-4.440892098500621e-16
0.07500000000000001	0.325	-5.686640394686467e-17	1.3877787807814417e-17
0.07500000000000001	0.35000000000000003	-3.356283350200441e-17	-5.551115123125789e-17
0.07500000000000001	0.375	2.3540739670091515e-17	9.714451465470114e-17
0.07500000000000001	0.4	-0.0	7.003946034256375e-17
0.07500000000000001	0.42500000000000004	-0.0	-5.553825628556989e-17
0.07500000000000001	0.45	1.0283657606025002e-16	-6.661338147750943e-16
0.07500000000000001	0.47500000000000003	-8.218252467440116e-17	-3.0531133177191854e-16
0.07500000000000001	0.5	5.3993268189778164e-17	2.7755575615628907e-17
0.07500000000000001	0.525	-2.576064361825565e-16	-8.881784197001254e-16
0.07500000000000001	0.55	-4.1633363423443216e-17	7.771561172376082e-16
0.07500000000000001	0.5750000000000001	9.887923813067787e-17	-1.1379786002407825e-15
0.07500000000000001	0.6000000000000001	3.4694469519536176e-16	-4.440892098500631e-16
0.07500000000000001	0.625	2.220446049250311e-16	1.9233746539892868e-16
0.07500000000000001	0.65	-2.220446049250316e-16	2.6676794454005797e-16
0.07500000000000001	0.675	-1.1102230246251553e-16	-2.481196671733082e-16
0.07500000000000001	0.7000000000000001	-7.008282842946292e-16	3.330669073875465e-16
0.07500000000000001	0.7250000000000001	-5.204170427930419e-18	-1.0028870095490907e-16
0.07500000000000001	0.75	-8.326672684688654e-17	-1.718460443389519e-16
0.07500000000000001	0.775	3.330669073875472e-16	-8.187894806610534e-16
0.07500000000000001	0.8	2.2759572004815717e-15	-2.2204460492503135e-15
0.07500000000000001	0.8250000000000001	-1.9428902930940264e-16	-3.05311331771918e-16
0.07500000000000001	0.8500000000000001	3.6374982886888655e-17	2.775557561562882e-17
0.07500000000000001	0.875	-2.4980018054066017e-16	-1.1297386637298944e-16
0.07500000000000001	0.9	4.5644911461639737e-17	4.718447854656903e-16
0.07500000000000001	0.925	-6.245004513516498e-16	5.551115123125781e-16
0.07500000000000001	0.9500000000000001	1.1102230246251548e-16	-2.5934115965853187e-16
0.07500000000000001	0.9750000000000001	2.1900883884207175e-16	4.996003610813216e-16
0.07500000000000001	1.0	3.3306690738754716e-16	2.667137344314336e-16
0.1	0.0	-1.3530843112619073e-16	7.771561172376082e-16
0.1	0.025	1.353084311261907e-16	1.2212453270876708e-15
0.1	0.05	-1.4745149545802863e-17	-1.6653345369377415e-15
0.1	0.07500000000000001	9.992007221626391e-16	-4.86589935011495e-16
0.1	0.1	-1.4432899320127074e-15	2.0539125955565447e-15
0.1	0.125	8.586881206085178e-17	-4.4408920985006143e-16
0.1	0.15000000000000002	-5.5402731014009326e-17	-8.326672684688686e-17
0.1	0.17500000000000002	-2.220446049250318e-16	1.6100402261409762e-17
0.1	0.2	-9.714451465470142e-17	-8.378172287881745e-17
0.1	0.225	-3.3772897672923494e-17	-1.0408340855860867e-17
0.1	0.25	-1.3877787807814463e-17	6.548581121812457e-17
0.1	0.275	-0.0	-5.074066167232155e-17
0.1	0.30000000000000004	1.1102230246251605e-16	-2.706168622523828e-16
0.1	0.325	4.3021142204224796e-16	-5.551115123125783e-16
0.1	0.35000000000000003	-4.163336342344331e-17	-1.273937552670464e-18
0.1	0.375	-1.444699394836935e-17	1.318389841742373e-16
0.1	0.4	1.6019087098473282e-17	-1.1102230246251553e-16
0.1	0.42500000000000004	-1.1281123604711683e-16	-1.3877787807814494e-16
0.1	0.45	-0.0	-2.4286128663675278e-17
0.1	0.47500000000000003	5.551115123125795e-17	1.3801893655740467e-16
0.1	0.5	1.9081958235744853e-17	1.1102230246251565e-16
0.1	0.525	-3.330669073875471e-16	2.8449465006019666e-16
0.1	0.55	9.974659986866641e-17	-3.330669073875471e-16
0.1	0.5750000000000001	2.229119666630197e-16	3.3306690738754667e-16
0.1	0.6000000000000001	3.1051550219984867e-16	7.632783294297948e-16
0.1	0.625	-2.177077962350889e-16	8.881784197001256e-16
0.1	0.65	-4.380176776841434e-17	-8.88178419700125e-16
0.1	0.675	-8.187894806610523e-16	7.771561172376091e-16
0.1	0.7000000000000001	-1.0685896612017151e-15	8.881784197001272e-16
0.1	0.7250000000000001	-2.2204460492503106e-16	-2.2640851866928487e-16
0.1	0.75	1.2701428450667665e-16	4.4408920985006084e-16
0.1	0.775	3.1918911957973216e-16	1.80411241501588e-16
0.1	0.8	4.1112946380650284e-16	4.106957829375094e-16
0.1	0.8250000000000001	-8.534839501805872e-16	1.2212453270876698e-15
0.1	0.8500000000000001	2.0794997668271943e-16	-1.9428902930940146e-16
0.1	0.875	-1.1102230246251548e-16	4.3443981051494143e-16
0.1	0.9	2.220446049250312e-16	-9.992007221626405e-16
0.1	0.925	-4.996003610813188e-16	-3.9898639947466397e-17
0.1	0.9500000000000001	3.85433872318596e-16	-3.8857805861880464e-16
0.1	0.9750000000000001	-1.1102230246251546e-16	-1.752070710736573e-16
0.1	1.0	6.895525817007808e-17	-0.0
0.125	0.0	-1.1102230246251533e-16	1.0234868508263164e-16
0.125	0.025	-3.8857805861880454e-16	6.661338147750935e-16
0.125	0.05	-3.81205483845903e-16	-5.551115123125779e-16
0.125	0.07500000000000001	7.216449660063505e-16	2.1250362580715872e-16
0.125	0.1	-1.054711873393901e-15	1.7347234759768123e-16
0.125	0.125	-1.0018028073766068e-16	5.551115123125789e-16
0.125	0.15000000000000002	-2.059984127722462e-18	-2.775557561562893e-16
0.125	0.17500000000000002	-2.914335439641029e-16	4.0440741033709254e-17
0.125	0.2	-6.825052675796254e-17	-1.387778780781448e-16
0.125	0.225	4.163336342344342e-17	9.0205620750794e-17
0.125	0.25	4.8463837110102067e-17	5.551115123125788e-17
0.125	0.275	-1.1370570283941742e-17	1.1102230246251553e-16
0.125	0.30000000000000004	1.0842021724855035e-19	-2.0816681711721648e-17
0.125	0.325	1.0638733817514003e-18	-8.673617379884019e-18
0.125	0.35000000000000003	-0.0	3.72626734156113e-17
0.125	0.375	2.74845250725075e-17	5.551115123125802e-17
0.125	0.4	-9.733425003488602e-17	-1.6653345369377294e-16
0.125	0.42500000000000004	-4.2094149346749525e-17	-0.0
0.125	0.45	3.068292148133977e-17	1.2836953722228365e-16
0.125	0.47500000000000003	2.775557561562893e-17	-1.51463043496225e-16
0.125	0.5	2.5370330836160754e-17	4.996003610813196e-16
0.125	0.525	-3.3306690738754607e-16	-2.133709875451474e-16
0.125	0.55	3.872770160118231e-16	-1.165734175856418e-15
0.125	0.5750000000000001	-6.245004513516509e-17	-7.771561172376091e-16
0.125	0.6000000000000001	2.7755575615628877e-17	-5.377642775528092e-16
0.125	0.625	-1.3010426069826057e-18	-7.771561172376118e-16
0.125	0.65	7.24247051220316e-17	3.3306690738754696e-16
0.125	0.675	-1.8648277366750673e-17	1.9428902930940198e-16
0.125	0.7000000000000001	-0.0	6.407634839389332e-17
0.125	0.7250000000000001	-1.0711917464156769e-16	1.3877787807814417e-16
0.125	0.75	7.216449660063495e-16	-1.1102230246251532e-15
0.125	0.775	2.116362640691698e-16	-4.44089209850062e-16
0.125	0.8	2.2204460492503155e-16	-2.2353538291219937e-16
0.125	0.8250000000000001	-1.7184604433895189e-16	-6.938893903907207e-18
0.125	0.8500000000000001	2.498001805406598e-16	-2.2551405187698492e-17
0.125	0.875	-4.950738170111942e-17	-3.0531133177191884e-16
0.125	0.9	4.4408920985005877e-16	-1.1668946019767255e-16
0.125	0.925	-6.106226635438349e-16	3.9334854817773963e-16
0.125	0.9500000000000001	-0.0	-1.5428196914468733e-16
0.125	0.9750000000000001	-9.99200722162638e-16	1.137978600240782e-15
0.125	1.0	-4.163336342344329e-17	2.336455681706264e-16
0.15000000000000002	0.0	6.59194920871186e-17	-4.440892098500623e-16
0.15000000000000002	0.025	-9.228728892196594e-16	2.2204460492503091e-16
0.15000000000000002	0.05	-5.082739784612026e-16	-1.804112415015875e-16
0.15000000000000002	0.07500000000000001	1.652324110867907e-16	-1.8873791418627638e-15
0.15000000000000002	0.1	-3.3436794999452903e-16	-0.0
0.15000000000000002	0.125	-1.0538445116559103e-16	1.1102230246251536e-16
0.15000000000000002	0.15000000000000002	-3.2196467714129524e-15	3.885780586188045e-15
0.15000000000000002	0.17500000000000002	1.4137996329210936e-16	4.787836793695987e-16
